pos_id,ivu_id,record_dto,position_latitude,position_longitude,record_number,record_cluster
12532,DAVID1,20/04/2024 3:50:00,37.59956,144.79866,2149674955,20/04/2024
12533,DAVID1,20/04/2024 3:50:30,37.59832,144.79884,2149674956,20/04/2024
12534,DAVID1,20/04/2024 3:51:00,37.59693,144.79906,2149674957,20/04/2024
12535,DAVID1,20/04/2024 3:51:30,37.59514,144.79874,2149674958,20/04/2024
12536,DAVID1,20/04/2024 3:52:00,37.59356,144.79778,2149674959,20/04/2024
12537,DAVID1,20/04/2024 3:52:30,37.5918,144.79666,2149674960,20/04/2024
12538,DAVID1,20/04/2024 3:53:00,37.59042,144.79576,2149674961,20/04/2024
12539,DAVID1,20/04/2024 3:53:30,37.5893,144.79437,2149674962,20/04/2024
12540,DAVID1,20/04/2024 3:54:00,37.58721,144.7937,2149674963,20/04/2024
12541,DAVID1,20/04/2024 3:54:30,37.58864,144.79388,2149674964,20/04/2024
12542,DAVID1,20/04/2024 3:55:00,37.59002,144.79538,2149674965,20/04/2024
12543,DAVID1,20/04/2024 3:55:30,37.59218,144.79697,2149674966,20/04/2024
12544,DAVID1,20/04/2024 3:56:00,37.59397,144.79811,2149674967,20/04/2024
12545,DAVID1,20/04/2024 3:56:30,37.59589,144.79915,2149674968,20/04/2024
12546,DAVID1,20/04/2024 3:57:00,37.59776,144.799,2149674969,20/04/2024
12547,DAVID1,20/04/2024 3:57:30,37.59986,144.79866,2149674970,20/04/2024
12548,DAVID1,20/04/2024 3:58:00,37.60168,144.79958,2149674971,20/04/2024
12549,DAVID1,20/04/2024 3:58:30,37.60333,144.80228,2149674972,20/04/2024
12550,DAVID1,20/04/2024 3:59:00,37.60422,144.80684,2149674973,20/04/2024
12551,DAVID1,20/04/2024 3:59:30,37.60706,144.8055,2149674974,20/04/2024
12552,DAVID1,20/04/2024 4:00:00,37.6075,144.8051,2149674975,20/04/2024
12553,DAVID1,20/04/2024 4:00:30,37.60584,144.80647,2149674976,20/04/2024
12554,DAVID1,20/04/2024 4:01:00,37.60431,144.80696,2149674977,20/04/2024
12555,DAVID1,20/04/2024 4:01:30,37.60451,144.80541,2149674978,20/04/2024
12556,DAVID1,20/04/2024 4:02:00,37.6042,144.80655,2149674979,20/04/2024
12557,DAVID1,20/04/2024 4:02:30,37.60667,144.80576,2149674980,20/04/2024
12558,DAVID1,20/04/2024 4:03:00,37.60487,144.80724,2149674981,20/04/2024
12559,DAVID1,20/04/2024 4:03:30,37.60431,144.80615,2149674982,20/04/2024
12560,DAVID1,20/04/2024 4:04:00,37.60455,144.80524,2149674983,20/04/2024
12561,DAVID1,20/04/2024 4:04:30,37.6045,144.80386,2149674984,20/04/2024
12562,DAVID1,20/04/2024 4:05:00,37.60362,144.80296,2149674985,20/04/2024
12563,DAVID1,20/04/2024 4:05:30,37.60372,144.80321,2149674986,20/04/2024
12564,DAVID1,20/04/2024 4:06:00,37.60432,144.80713,2149674987,20/04/2024
12565,DAVID1,20/04/2024 4:06:30,37.60723,144.80539,2149674988,20/04/2024
12566,DAVID1,20/04/2024 4:07:00,37.60897,144.80379,2149674989,20/04/2024
12567,DAVID1,20/04/2024 4:07:30,37.60975,144.80179,2149674990,20/04/2024
12568,DAVID1,20/04/2024 4:08:00,37.61108,144.80263,2149674991,20/04/2024
12569,DAVID1,20/04/2024 4:08:30,37.61268,144.80367,2149674992,20/04/2024
12570,DAVID1,20/04/2024 4:09:00,37.61323,144.80397,2149674993,20/04/2024
12571,DAVID1,20/04/2024 4:09:30,37.61141,144.80272,2149674994,20/04/2024
12572,DAVID1,20/04/2024 4:10:00,37.61,144.80188,2149674995,20/04/2024
12573,DAVID1,20/04/2024 4:10:30,37.60914,144.80318,2149674996,20/04/2024
12574,DAVID1,20/04/2024 4:11:00,37.60826,144.80449,2149674997,20/04/2024
12575,DAVID1,20/04/2024 4:11:30,37.60879,144.804,2149674998,20/04/2024
12576,DAVID1,20/04/2024 4:12:00,37.60948,144.80182,2149674999,20/04/2024
12577,DAVID1,20/04/2024 4:12:30,37.61098,144.80255,2149675000,20/04/2024
12578,DAVID1,20/04/2024 4:13:00,37.61267,144.80365,2149675001,20/04/2024
12579,DAVID1,20/04/2024 4:13:30,37.61372,144.80464,2149675002,20/04/2024
12580,DAVID1,20/04/2024 4:14:00,37.61396,144.80667,2149675003,20/04/2024
12581,DAVID1,20/04/2024 4:14:30,37.61414,144.80817,2149675004,20/04/2024
12582,DAVID1,20/04/2024 4:15:00,37.61416,144.8089,2149675005,20/04/2024
12583,DAVID1,20/04/2024 4:15:30,37.61371,144.80977,2149675006,20/04/2024
12584,DAVID1,20/04/2024 4:16:00,37.61311,144.81105,2149675007,20/04/2024
12585,DAVID1,20/04/2024 4:16:30,37.61323,144.81166,2149675008,20/04/2024
12586,DAVID1,20/04/2024 4:17:00,37.61432,144.81284,2149675009,20/04/2024
12587,DAVID1,20/04/2024 4:17:30,37.61605,144.81494,2149675010,20/04/2024
12588,DAVID1,20/04/2024 4:18:00,37.61789,144.81723,2149675011,20/04/2024
12589,DAVID1,20/04/2024 4:18:30,37.62017,144.81964,2149675012,20/04/2024
12590,DAVID1,20/04/2024 4:19:00,37.6225,144.81935,2149675013,20/04/2024
12591,DAVID1,20/04/2024 4:19:30,37.62451,144.81897,2149675014,20/04/2024
12592,DAVID1,20/04/2024 4:20:00,37.62613,144.81871,2149675015,20/04/2024
12593,DAVID1,20/04/2024 4:20:30,37.62787,144.81844,2149675016,20/04/2024
12594,DAVID1,20/04/2024 4:21:00,37.6301,144.81801,2149675017,20/04/2024
12595,DAVID1,20/04/2024 4:21:30,37.63242,144.81757,2149675018,20/04/2024
12596,DAVID1,20/04/2024 4:22:00,37.63442,144.81722,2149675019,20/04/2024
12597,DAVID1,20/04/2024 4:22:30,37.63632,144.81689,2149675020,20/04/2024
12598,DAVID1,20/04/2024 4:23:00,37.63838,144.81653,2149675021,20/04/2024
12599,DAVID1,20/04/2024 4:23:30,37.64039,144.81618,2149675022,20/04/2024
12600,DAVID1,20/04/2024 4:24:00,37.64129,144.81728,2149675023,20/04/2024
12601,DAVID1,20/04/2024 4:24:30,37.64185,144.8197,2149675024,20/04/2024
12602,DAVID1,20/04/2024 4:25:00,37.64248,144.82251,2149675025,20/04/2024
12603,DAVID1,20/04/2024 4:25:30,37.64285,144.8252,2149675026,20/04/2024
12604,DAVID1,20/04/2024 4:26:00,37.64315,144.82805,2149675027,20/04/2024
12605,DAVID1,20/04/2024 4:26:30,37.64354,144.83119,2149675028,20/04/2024
12606,DAVID1,20/04/2024 4:27:00,37.6441,144.83389,2149675029,20/04/2024
12607,DAVID1,20/04/2024 4:27:30,37.64497,144.83666,2149675030,20/04/2024
12608,DAVID1,20/04/2024 4:28:00,37.64638,144.83914,2149675031,20/04/2024
12609,DAVID1,20/04/2024 4:28:30,37.64835,144.84096,2149675032,20/04/2024
12610,DAVID1,20/04/2024 4:29:00,37.65053,144.84197,2149675033,20/04/2024
12611,DAVID1,20/04/2024 4:29:30,37.65273,144.84264,2149675034,20/04/2024
12612,DAVID1,20/04/2024 4:30:00,37.65527,144.8439,2149675035,20/04/2024
12613,DAVID1,20/04/2024 4:30:30,37.65725,144.84598,2149675036,20/04/2024
12614,DAVID1,20/04/2024 4:31:00,37.65873,144.84885,2149675037,20/04/2024
12615,DAVID1,20/04/2024 4:31:30,37.65987,144.85191,2149675038,20/04/2024
12616,DAVID1,20/04/2024 4:32:00,37.66125,144.8539,2149675039,20/04/2024
12617,DAVID1,20/04/2024 4:32:30,37.66316,144.85519,2149675040,20/04/2024
12618,DAVID1,20/04/2024 4:33:00,37.66553,144.85579,2149675041,20/04/2024
12619,DAVID1,20/04/2024 4:33:30,37.66774,144.856,2149675042,20/04/2024
12620,DAVID1,20/04/2024 4:34:00,37.66954,144.85605,2149675043,20/04/2024
12621,DAVID1,20/04/2024 4:34:30,37.6699,144.85365,2149675044,20/04/2024
12622,DAVID1,20/04/2024 4:35:30,37.67145,144.85297,2149675045,20/04/2024
12623,DAVID1,20/04/2024 4:44:00,37.67249,144.85242,2149675046,20/04/2024
12624,DAVID1,20/04/2024 4:44:30,37.67448,144.85205,2149675047,20/04/2024
12625,DAVID1,20/04/2024 4:45:00,37.67566,144.85374,2149675048,20/04/2024
12626,DAVID1,20/04/2024 4:45:30,37.67598,144.85648,2149675049,20/04/2024
12627,DAVID1,20/04/2024 4:46:00,37.67725,144.85858,2149675050,20/04/2024
12628,DAVID1,20/04/2024 4:47:00,37.67895,144.86032,2149675051,20/04/2024
12629,DAVID1,20/04/2024 4:47:30,37.68056,144.86195,2149675052,20/04/2024
12630,DAVID1,20/04/2024 4:48:00,37.68238,144.86371,2149675053,20/04/2024
12631,DAVID1,20/04/2024 4:48:30,37.68428,144.86491,2149675054,20/04/2024
12632,DAVID1,20/04/2024 4:49:00,37.68483,144.86595,2149675055,20/04/2024
12633,DAVID1,20/04/2024 4:51:30,37.68567,144.86684,2149675056,20/04/2024
12634,DAVID1,20/04/2024 4:52:00,37.68727,144.86853,2149675057,20/04/2024
12635,DAVID1,20/04/2024 4:52:30,37.68819,144.86952,2149675058,20/04/2024
12636,DAVID1,20/04/2024 4:53:00,37.68988,144.87125,2149675059,20/04/2024
12637,DAVID1,20/04/2024 4:53:30,37.69143,144.87283,2149675060,20/04/2024
12638,DAVID1,20/04/2024 4:54:00,37.69304,144.87448,2149675061,20/04/2024
12639,DAVID1,20/04/2024 4:54:30,37.6949,144.87614,2149675062,20/04/2024
12640,DAVID1,20/04/2024 4:55:00,37.69714,144.87824,2149675063,20/04/2024
12641,DAVID1,20/04/2024 4:55:30,37.69908,144.88002,2149675064,20/04/2024
12642,DAVID1,20/04/2024 4:56:00,37.70034,144.88101,2149675065,20/04/2024
12643,DAVID1,20/04/2024 4:56:30,37.70243,144.88254,2149675066,20/04/2024
12644,DAVID1,20/04/2024 4:57:00,37.70404,144.88379,2149675067,20/04/2024
12645,DAVID1,20/04/2024 4:57:30,37.7061,144.88536,2149675068,20/04/2024
12646,DAVID1,20/04/2024 4:58:00,37.70816,144.88692,2149675069,20/04/2024
12647,DAVID1,20/04/2024 4:58:30,37.71034,144.88835,2149675070,20/04/2024
12648,DAVID1,20/04/2024 4:59:00,37.71038,144.89034,2149675071,20/04/2024
12649,DAVID1,20/04/2024 4:59:30,37.71151,144.89287,2149675072,20/04/2024
12650,DAVID1,20/04/2024 5:00:00,37.71269,144.89619,2149675073,20/04/2024
